,playerName,seasonStartYear,salary,inflationAdjSalary,birthDate,startYear,position,height,weight
3116,Lonny Baxter,2002,"$349,458","$527,772",1979-01-27,2003.0,F,6-8,260.0
3117,Roger Mason,2002,"$349,458","$527,772",1980-09-10,2003.0,G,6-5,200.0
3118,Carlos Boozer,2002,"$349,458","$527,772",1981-11-20,2003.0,F-C,6-9,258.0
3119,Smush Parker,2002,"$349,458","$527,772",1981-06-01,2003.0,G,6-4,190.0
3120,Junior Harrington,2002,"$349,458","$527,772",1980-10-02,2003.0,G,6-4,180.0
3121,Predrag Savovic,2002,"$349,458","$527,772",,,,,
3122,Vincent Yarbrough,2002,"$349,458","$527,772",1981-03-21,2003.0,G-F,6-7,210.0
3123,Tito Maddox,2002,"$349,458","$527,772",1981-06-07,2003.0,G,6-4,190.0
3124,Jannero Pargo,2002,"$349,458","$527,772",1979-10-22,2003.0,G,6-1,175.0
3125,Chris Owens,2002,"$349,458","$527,772",1979-03-01,2003.0,F,6-7,245.0
3126,Mike Batiste,2002,"$349,458","$527,772",1977-11-21,2003.0,F,6-8,225.0
3127,Robert Archibald,2002,"$349,458","$527,772",1980-03-29,2003.0,F,6-11,250.0
3128,Ken Johnson,2002,"$349,458","$527,772",1962-11-07,1986.0,F,6-8,240.0
3129,Rasual Butler,2002,"$349,458","$527,772",1979-05-23,2003.0,F-G,6-7,215.0
3130,Sean Lampley,2002,"$349,458","$527,772",1979-09-03,2003.0,F,6-7,227.0
3131,Dan Gadzuric,2002,"$349,458","$527,772",1978-02-02,2003.0,C,6-11,240.0
3132,Jamal Sampson,2002,"$349,458","$527,772",1983-05-15,2003.0,F-C,6-11,235.0
3133,Ronald Murray,2002,"$349,458","$527,772",1979-07-29,2003.0,G,6-4,190.0
3134,Igor Rakocevic,2002,"$349,458","$527,772",,,,,
3135,Reggie Evans,2002,"$349,458","$527,772",1980-05-18,2003.0,F,6-8,245.0
3136,Pat Burke,2002,"$349,458","$527,772",1973-12-14,2003.0,C-F,6-11,250.0
3137,Sam Clancy,2002,"$349,458","$527,772",,,,,
3138,Nate Huffman,2002,"$349,458","$527,772",1975-04-02,2003.0,C,7-1,245.0
3139,Reggie Slater,2002,"$321,926","$486,192",1970-08-27,1995.0,F,6-7,215.0
3140,Art Long,2002,"$229,243","$346,216",1972-10-01,2001.0,F-C,6-9,250.0
3141,Jermaine Jackson,2002,"$171,932","$259,662",1976-06-07,2000.0,G,6-4,204.0
3142,Oscar Torres,2002,"$168,729","$254,824",,,,,
3143,Adam Harrington,2002,"$140,636","$212,397",1980-07-05,2003.0,G,6-5,200.0
3144,Anthony Goldwire,2002,"$139,925","$211,323",1971-09-06,1996.0,G,6-1,182.0
3145,John Crotty,2002,"$138,171","$208,673",1969-07-15,1993.0,G,6-1,185.0
3146,Pete Mickeal,2002,"$136,374","$205,960",,,,,
3147,Soumaila Samake,2002,"$124,984","$188,758",1978-03-18,2001.0,C,7-0,230.0
3148,Ratko Varda,2002,"$124,984","$188,758",1979-05-06,2002.0,C,7-1,260.0
3149,Dean Oliver,2002,"$118,735","$179,320",1978-11-05,2002.0,G,5-11,180.0
3150,Antonio Harvey,2002,"$60,361","$91,160",1970-07-06,1994.0,F-C,6-11,225.0
3151,Mark Strickland,2002,"$60,361","$91,160",1970-07-14,1995.0,F,6-9,210.0
3152,Mike Wilks,2002,"$55,402","$83,671",1979-05-07,2003.0,G,5-10,185.0
3153,Rafer Alston,2002,"$37,344","$56,399",1976-07-24,2000.0,G,6-2,171.0
3154,Guy Rucker,2002,"$34,946","$52,777",1977-07-27,2003.0,F-C,6-11,265.0
3155,Devin Brown,2002,"$34,946","$52,777",1978-12-30,2003.0,G,6-5,220.0
3156,Paul Shirley,2002,"$29,832","$45,054",1977-12-23,2003.0,F-C,6-10,230.0
3157,Kevin Garnett,2003,"$28,000,000","$41,412,563",1976-05-19,1996.0,F-C,6-11,240.0
3158,Shaquille O'Neal,2003,"$24,749,999","$36,605,747",1972-03-06,1993.0,C,7-1,325.0
3159,Dikembe Mutombo,2003,"$17,714,291","$26,199,792",1966-06-25,1992.0,C,7-2,245.0
3160,Rasheed Wallace,2003,"$17,000,000","$25,143,342",1974-09-17,1996.0,F-C,6-10,225.0
3161,Allan Houston,2003,"$15,937,500","$23,571,883",1971-04-20,1994.0,G,6-6,200.0
3162,Chris Webber,2003,"$15,937,500","$23,571,883",1973-03-01,1994.0,F-C,6-9,245.0
3163,Shawn Kemp,2003,"$14,941,935","$22,099,422",1969-11-26,1990.0,F-C,6-10,230.0
3164,Shareef Abdur-Rahim,2003,"$13,500,000","$19,966,771",1976-12-11,1997.0,F,6-9,225.0
3165,Vin Baker,2003,"$13,500,000","$19,966,771",1971-11-23,1994.0,F,6-11,232.0
3166,Zydrunas Ilgauskas,2003,"$13,500,000","$19,966,771",1975-06-05,1998.0,C,7-3,238.0
3167,Antoine Walker,2003,"$13,500,000","$19,966,771",1976-08-12,1997.0,F,6-8,224.0
3168,Kobe Bryant,2003,"$13,500,000","$19,966,771",1978-08-23,1997.0,G-F,6-6,212.0
3169,Latrell Sprewell,2003,"$13,500,000","$19,966,771",1970-09-08,1993.0,G,6-5,190.0
3170,Antonio McDyess,2003,"$13,500,000","$19,966,771",1974-09-07,1996.0,F-C,6-9,220.0
3171,Ray Allen,2003,"$13,500,000","$19,966,771",1975-07-20,1997.0,G,6-5,205.0
3172,Allen Iverson,2003,"$13,500,000","$19,966,771",1975-06-07,1997.0,G,6-0,165.0
3173,Anfernee Hardaway,2003,"$13,500,000","$19,966,771",1971-07-18,1994.0,G-F,6-7,195.0
3174,Stephon Marbury,2003,"$13,500,000","$19,966,771",1977-02-20,1997.0,G,6-2,180.0
3175,Michael Finley,2003,"$13,281,250","$19,643,236",1973-03-06,1996.0,G-F,6-7,215.0
3176,Keith Van Horn,2003,"$13,279,750","$19,641,017",1975-10-23,1998.0,F,6-10,220.0
3177,Grant Hill,2003,"$13,279,750","$19,641,017",1972-10-05,1995.0,F-G,6-8,225.0
3178,Tracy McGrady,2003,"$13,279,750","$19,641,017",1979-05-24,1998.0,F-G,6-8,210.0
3179,Jalen Rose,2003,"$13,279,750","$19,641,017",1973-01-30,1995.0,G-F,6-8,210.0
3180,Jason Kidd,2003,"$13,152,000","$19,452,072",1973-03-23,1995.0,G,6-4,205.0
3181,Jermaine O'Neal,2003,"$13,152,000","$19,452,072",1978-10-13,1997.0,C-F,6-11,226.0
3182,Antonio Davis,2003,"$12,925,000","$19,116,335",1968-10-31,1994.0,F-C,6-9,215.0
3183,Tim Duncan,2003,"$12,676,125","$18,748,244",1976-04-25,1998.0,F-C,6-11,250.0
3184,Damon Stoudamire,2003,"$12,375,000","$18,302,874",1973-09-03,1996.0,G,5-10,171.0
3185,Eddie Jones,2003,"$12,333,750","$18,241,864",1971-10-20,1995.0,G-F,6-6,190.0
3186,Brian Grant,2003,"$12,130,648","$17,941,472",1972-03-05,1995.0,F,6-9,254.0
3187,Vlade Divac,2003,"$12,051,510","$17,824,426",1968-02-03,1990.0,C,7-1,243.0
3188,Nick Van Exel,2003,"$11,956,625","$17,684,089",1971-11-27,1994.0,G,6-1,170.0
3189,Tim Thomas,2003,"$11,825,000","$17,489,413",1977-02-26,1998.0,F,6-10,230.0
3190,Tom Gugliotta,2003,"$11,670,000","$17,260,165",1969-12-19,1993.0,F,6-10,240.0
3191,Paul Pierce,2003,"$11,326,219","$16,751,706",1977-10-13,1999.0,F-G,6-7,235.0
3192,Antawn Jamison,2003,"$11,326,219","$16,751,706",1976-06-12,1999.0,F,6-8,223.0
3193,Dirk Nowitzki,2003,"$11,326,219","$16,751,706",1978-06-19,1999.0,F,7-0,245.0
3194,Vince Carter,2003,"$11,326,219","$16,751,706",1977-01-26,1999.0,G-F,6-6,220.0
3195,Terrell Brandon,2003,"$11,100,000","$16,417,123",1970-05-20,1992.0,G,5-11,180.0
3196,Steve Francis,2003,"$10,960,000","$16,210,060",1977-02-21,2000.0,G,6-3,195.0
3197,Elton Brand,2003,"$10,960,000","$16,210,060",1979-03-11,2000.0,F-C,6-8,275.0
3198,Baron Davis,2003,"$10,960,000","$16,210,060",1979-04-13,2000.0,G,6-3,209.0
3199,Shawn Marion,2003,"$10,960,000","$16,210,060",1978-05-07,2000.0,F,6-7,220.0
3200,Glenn Robinson,2003,"$10,730,000","$15,869,886",1973-01-10,1995.0,F,6-7,225.0
3201,Theo Ratliff,2003,"$10,156,250","$15,021,298",1973-04-17,1996.0,C-F,6-10,225.0
3202,Lamar Odom,2003,"$9,963,596","$14,736,359",1979-11-06,2000.0,F,6-10,220.0
3203,Mike Bibby,2003,"$9,500,000","$14,050,691",1978-05-13,1999.0,G,6-1,190.0
3204,Kerry Kittles,2003,"$9,266,666","$13,705,585",1974-06-12,1997.0,G,6-5,179.0
3205,Dale Davis,2003,"$9,061,875","$13,402,695",1969-03-25,1992.0,F-C,6-11,230.0
3206,Toni Kukoc,2003,"$9,056,250","$13,394,376",,,,,
3207,Greg Ostertag,2003,"$8,666,666","$12,818,173",1973-03-06,1996.0,C,7-2,280.0
3208,Gilbert Arenas,2003,"$8,536,000","$12,624,915",1982-01-06,2002.0,G,6-4,191.0
3209,Jamal Mashburn,2003,"$8,525,000","$12,608,646",1972-11-29,1994.0,F,6-8,240.0
3210,Jason Terry,2003,"$8,333,333","$12,325,167",1977-09-15,2000.0,G,6-2,185.0
3211,Raef LaFrentz,2003,"$8,178,750","$12,096,535",1976-05-29,1999.0,F-C,6-11,240.0
3212,Andre Miller,2003,"$8,000,000","$11,832,161",1976-03-19,2000.0,G,6-3,200.0
3213,Wally Szczerbiak,2003,"$8,000,000","$11,832,161",1977-03-05,2000.0,F,6-7,244.0
3214,PJ Brown,2003,"$8,000,000","$11,832,161",,,,,
3215,Glen Rice,2003,"$7,885,000","$11,662,073",1967-05-28,1990.0,F,6-8,215.0
3216,Erick Dampier,2003,"$7,842,000","$11,598,475",1975-07-14,1997.0,C,6-11,265.0
3217,Maurice Taylor,2003,"$7,800,000","$11,536,357",1976-10-30,1998.0,F,6-9,260.0
3218,Derek Anderson,2003,"$7,794,000","$11,527,482",1974-07-18,1998.0,G,6-5,194.0
3219,Wesley Person,2003,"$7,700,000","$11,388,455",1971-03-28,1995.0,G,6-6,195.0
3220,Alan Henderson,2003,"$7,682,188","$11,362,110",1972-12-02,1996.0,F,6-9,235.0
3221,Austin Croshere,2003,"$7,610,000","$11,255,343",1975-05-01,1998.0,F,6-9,235.0
3222,Kelvin Cato,2003,"$7,344,000","$10,861,923",1974-08-26,1998.0,C,6-11,255.0
3223,Marcus Camby,2003,"$7,250,000","$10,722,896",1974-03-22,1997.0,C-F,6-11,220.0
3224,Rashard Lewis,2003,"$7,012,987","$10,372,349",1979-08-08,1999.0,F,6-10,215.0
3225,Corey Maggette,2003,"$7,000,000","$10,353,140",1979-11-12,2000.0,F,6-6,218.0
3226,Bonzi Wells,2003,"$7,000,000","$10,353,140",1976-09-28,1999.0,G-F,6-5,210.0
3227,Brad Miller,2003,"$7,000,000","$10,353,140",1976-04-12,1999.0,C,6-11,244.0
3228,Jerry Stackhouse,2003,"$6,906,250","$10,214,482",1974-11-05,1996.0,G-F,6-6,218.0
3229,Doug Christie,2003,"$6,900,000","$10,205,238",1970-05-09,1993.0,G-F,6-6,200.0
3230,Ron Mercer,2003,"$6,750,000","$9,983,385",1976-05-18,1998.0,G-F,6-7,210.0
3231,Shandon Anderson,2003,"$6,700,000","$9,909,434",1973-12-31,1997.0,F-G,6-6,208.0
3232,Chris Mills,2003,"$6,600,000","$9,761,532",1970-01-25,1994.0,F,6-6,215.0
3233,Lorenzen Wright,2003,"$6,600,000","$9,761,532",1975-11-04,1997.0,F-C,6-11,225.0
3234,Bo Outlaw,2003,"$6,585,000","$9,739,347",1971-04-13,1994.0,F,6-8,210.0
3235,Richard Hamilton,2003,"$6,500,000","$9,613,630",1978-02-14,2000.0,G-F,6-6,185.0
3236,Hakeem Olajuwon,2003,"$6,326,923","$9,357,646",1963-01-21,1985.0,C,7-0,255.0
3237,Bob Sura,2003,"$6,266,666","$9,268,525",1973-03-25,1996.0,G,6-5,200.0
3238,Predrag Stojakovic,2003,"$6,250,000","$9,243,875",,,,,
3239,Eddie Robinson,2003,"$6,204,000","$9,175,840",1976-04-19,2000.0,G-F,6-8,210.0
3240,Tariq Abdul-Wahad,2003,"$6,187,500","$9,151,437",1974-11-03,1998.0,F,6-6,223.0
3241,Jason Williams,2003,"$6,187,500","$9,151,437",1975-11-18,1999.0,G,6-1,190.0
3242,Michael Dickerson,2003,"$6,187,500","$9,151,437",1975-06-25,1999.0,G-F,6-5,190.0
3243,Charlie Ward,2003,"$6,030,000","$8,918,491",1970-10-12,1995.0,G,6-2,190.0
3244,Jerome Williams,2003,"$5,987,500","$8,855,633",1973-05-10,1997.0,F,6-9,206.0
3245,Howard Eisley,2003,"$5,843,750","$8,643,023",1972-12-04,1995.0,G,6-2,177.0
3246,Jonathan Bender,2003,"$5,800,000","$8,578,316",1981-01-30,2000.0,F,6-11,202.0
3247,Steve Nash,2003,"$5,750,000","$8,504,365",1974-02-07,1997.0,G,6-3,195.0
3248,Vitaly Potapenko,2003,"$5,715,000","$8,452,600",1975-03-21,1997.0,C,6-10,280.0
3249,Al Harrington,2003,"$5,692,500","$8,419,322",1980-02-17,1999.0,F,6-9,230.0
3250,Jason Caffey,2003,"$5,687,500","$8,411,927",1973-06-12,1996.0,F,6-8,255.0
3251,Jahidi White,2003,"$5,676,091","$8,395,052",1976-02-19,1999.0,F-C,6-9,290.0
3252,Christian Laettner,2003,"$5,625,000","$8,319,488",1969-08-17,1993.0,F-C,6-11,235.0
3253,Radoslav Nesterovic,2003,"$5,600,000","$8,282,512",,,,,
3254,Eric Williams,2003,"$5,540,000","$8,193,771",1972-07-17,1996.0,F,6-8,220.0
3255,Ben Wallace,2003,"$5,500,000","$8,134,610",1974-09-10,1997.0,F-C,6-9,240.0
3256,Kenny Thomas,2003,"$5,500,000","$8,134,610",1977-07-25,2000.0,F,6-7,261.0
3257,Alvin Williams,2003,"$5,500,000","$8,134,610",1974-08-06,1998.0,G,6-5,185.0
3258,Metta World Peace,2003,"$5,473,684","$8,095,688",1979-11-13,2000.0,F,6-7,260.0
3259,Calvin Booth,2003,"$5,446,800","$8,055,926",1976-05-07,2000.0,C,6-11,230.0
3260,Avery Johnson,2003,"$5,445,600","$8,054,152",1965-03-25,1989.0,G,5-10,175.0
3261,Clarence Weatherspoon,2003,"$5,445,600","$8,054,152",1970-09-08,1993.0,F,6-6,240.0
3262,Joe Smith,2003,"$5,445,600","$8,054,152",1975-07-26,1996.0,F,6-10,225.0
3263,Todd MacCulloch,2003,"$5,445,600","$8,054,152",1976-01-27,2000.0,C,7-0,280.0
3264,Ruben Patterson,2003,"$5,445,600","$8,054,152",1975-07-31,1999.0,F,6-5,224.0
3265,Danny Fortson,2003,"$5,428,602","$8,029,011",1976-03-27,1998.0,F,6-7,260.0
3266,Brent Barry,2003,"$5,400,000","$7,986,708",1971-12-31,1996.0,G,6-6,185.0
3267,Cuttino Mobley,2003,"$5,394,125","$7,978,019",1975-09-01,1999.0,G,6-4,190.0
3268,Kurt Thomas,2003,"$5,394,125","$7,978,019",1972-10-04,1996.0,F,6-9,230.0
3269,Scot Pollard,2003,"$5,309,563","$7,852,950",1975-02-12,1998.0,C,6-11,265.0
3270,Kenyon Martin,2003,"$5,128,689","$7,585,434",1977-12-30,2001.0,F,6-9,234.0
3271,Sam Cassell,2003,"$5,062,500","$7,487,539",1969-11-18,1994.0,G,6-3,185.0
3272,Ricky Davis,2003,"$5,000,600","$7,395,988",1979-09-23,1999.0,G,6-6,195.0
3273,Chauncey Billups,2003,"$5,000,600","$7,395,988",1976-09-25,1998.0,G,6-3,202.0
3274,Jerome James,2003,"$5,000,600","$7,395,988",1975-11-17,1999.0,C,7-0,300.0
3275,Keon Clark,2003,"$5,000,600","$7,395,988",1975-04-16,1999.0,F-C,6-11,220.0
3276,Larry Hughes,2003,"$5,000,600","$7,395,988",1979-01-23,1999.0,G,6-5,184.0
3277,Nazr Mohammed,2003,"$5,000,000","$7,395,100",1977-09-05,1999.0,C,6-10,221.0
3278,Corliss Williamson,2003,"$5,000,000","$7,395,100",1973-12-04,1996.0,F,6-7,245.0
3279,Reggie Miller,2003,"$5,000,000","$7,395,100",1965-08-24,1988.0,G-F,6-7,185.0
3280,Aaron McKie,2003,"$5,000,000","$7,395,100",1972-10-02,1995.0,G,6-5,209.0
3281,Brevin Knight,2003,"$5,000,000","$7,395,100",1975-11-08,1998.0,G,5-10,173.0
3282,Alonzo Mourning,2003,"$4,917,000","$7,272,342",1970-02-08,1993.0,C,6-10,240.0
3283,Scottie Pippen,2003,"$4,917,000","$7,272,342",1965-09-25,1988.0,F-G,6-8,210.0
3284,Gary Payton,2003,"$4,917,000","$7,272,342",1968-07-23,1991.0,G,6-4,180.0
3285,James Posey,2003,"$4,917,000","$7,272,342",1977-01-13,2000.0,F-G,6-8,215.0
3286,Michael Olowokandi,2003,"$4,917,000","$7,272,342",1975-04-03,1999.0,C,7-0,269.0
3287,Juwan Howard,2003,"$4,917,000","$7,272,342",1973-02-07,1995.0,F,6-9,240.0
3288,Malik Rose,2003,"$4,916,250","$7,271,232",1974-11-23,1997.0,F-C,6-7,250.0
3289,Rick Fox,2003,"$4,734,797","$7,002,860",1969-07-24,1992.0,F-G,6-7,230.0
3290,Clifford Robinson,2003,"$4,700,000","$6,951,394",1966-12-16,1990.0,F-C,6-10,225.0
3291,Donyell Marshall,2003,"$4,605,196","$6,811,177",1973-05-18,1995.0,F,6-9,218.0
3292,Stromile Swift,2003,"$4,592,418","$6,792,278",1979-11-21,2001.0,F,6-9,225.0
3293,Devean George,2003,"$4,546,000","$6,723,625",1977-08-29,2000.0,G-F,6-8,220.0
3294,Eric Snow,2003,"$4,500,000","$6,655,590",1973-04-24,1996.0,G,6-3,190.0
3295,Robert Horry,2003,"$4,500,000","$6,655,590",1970-08-25,1993.0,F,6-10,240.0
3296,Lamond Murray,2003,"$4,500,000","$6,655,590",1973-04-20,1995.0,F,6-7,236.0
3297,Michael Stewart,2003,"$4,480,000","$6,626,010",1975-04-25,1998.0,C,6-10,230.0
3298,Ervin Johnson,2003,"$4,418,156","$6,534,541",1967-12-21,1994.0,C,6-11,245.0
3299,Travis Knight,2003,"$4,402,500","$6,511,386",1974-09-13,1997.0,C,7-0,235.0
3300,Tony Battie,2003,"$4,400,000","$6,507,688",1976-02-11,1998.0,C-F,6-11,230.0
3301,Adonal Foyle,2003,"$4,400,000","$6,507,688",1975-03-09,1998.0,C,6-10,250.0
3302,Anthony Mason,2003,"$4,348,094","$6,430,918",1966-12-14,1990.0,F,6-7,250.0
3303,Matt Harpring,2003,"$4,290,000","$6,344,996",1976-05-31,1999.0,F,6-7,231.0
3304,Kwame Brown,2003,"$4,252,080","$6,288,911",1982-03-10,2002.0,F,6-11,270.0
3305,Zeljko Rebraca,2003,"$4,200,000","$6,211,884",,,,,
3306,Yao Ming,2003,"$4,147,560","$6,134,324",1980-09-12,2003.0,C,7-6,310.0
3307,Darius Miles,2003,"$4,130,701","$6,109,389",1981-10-09,2001.0,F,6-9,210.0
3308,LeBron James,2003,"$4,018,920","$5,944,063",1984-12-30,2004.0,F-G,6-9,250.0
3309,Elden Campbell,2003,"$4,000,000","$5,916,080",1968-07-23,1991.0,C,6-11,215.0
3310,Jeff Foster,2003,"$4,000,000","$5,916,080",1977-01-16,2000.0,F-C,6-11,236.0
3311,Derrick Coleman,2003,"$4,000,000","$5,916,080",1967-06-21,1991.0,F-C,6-10,230.0
3312,David Wesley,2003,"$3,960,000","$5,856,919",1970-11-14,1994.0,G,6-0,190.0
3313,Chucky Atkins,2003,"$3,900,000","$5,768,178",1974-08-14,2000.0,G,5-11,160.0
3314,Marc Jackson,2003,"$3,900,000","$5,768,178",1975-01-16,2001.0,C,6-10,270.0
3315,Tyson Chandler,2003,"$3,804,360","$5,626,725",1982-10-02,2002.0,C,7-0,235.0
3316,Marcus Fizer,2003,"$3,726,994","$5,512,299",1978-08-10,2001.0,F,6-9,262.0
3317,Jay Williams,2003,"$3,710,880","$5,488,466",1981-09-10,2003.0,G,6-2,195.0
3318,Bruce Bowen,2003,"$3,650,000","$5,398,423",1971-06-14,1997.0,F,6-7,185.0
3319,Lawrence Funderburke,2003,"$3,600,000","$5,324,472",1970-12-15,1998.0,F,6-9,230.0
3320,Darko Milicic,2003,"$3,595,800","$5,318,260",,,,,
3321,Shawn Bradley,2003,"$3,500,000","$5,176,570",1972-03-22,1994.0,C,7-6,235.0
3322,Moochie Norris,2003,"$3,500,000","$5,176,570",1973-07-27,1997.0,G,6-1,175.0
3323,Eduardo Najera,2003,"$3,428,572","$5,070,927",,,,,
3324,Mike Miller,2003,"$3,380,457","$4,999,763",1980-02-19,2001.0,F-G,6-8,218.0
3325,Mike Dunleavy,2003,"$3,332,520","$4,928,864",1954-03-21,1977.0,G,6-3,180.0
3326,Jeff McInnis,2003,"$3,300,000","$4,880,766",1974-10-22,1997.0,G,6-4,190.0
3327,Carmelo Anthony,2003,"$3,229,200","$4,776,051",1984-05-29,2004.0,F,6-7,238.0
3328,Eddy Curry,2003,"$3,080,160","$4,555,618",1982-12-05,2002.0,C,7-0,295.0
3329,Rodney Rogers,2003,"$3,075,600","$4,548,874",1971-06-20,1994.0,F,6-7,235.0
3330,Evan Eschmeyer,2003,"$3,017,266","$4,462,597",1975-05-30,2000.0,C,6-11,255.0
3331,Matt Maloney,2003,"$3,006,260","$4,446,319",1971-12-06,1997.0,G,6-3,192.0
3332,Drew Gooden,2003,"$3,004,560","$4,443,804",1981-09-24,2003.0,F,6-10,250.0
3333,Chris Crawford,2003,"$3,000,000","$4,437,060",1975-05-13,1998.0,F,6-9,235.0
3334,Jon Barry,2003,"$3,000,000","$4,437,060",1969-07-25,1993.0,G,6-4,195.0
3335,Lindsey Hunter,2003,"$3,000,000","$4,437,060",1970-12-03,1994.0,G,6-2,170.0
3336,Speedy Claxton,2003,"$3,000,000","$4,437,060",1978-05-08,2002.0,G,5-11,166.0
3337,Derek Fisher,2003,"$3,000,000","$4,437,060",1974-08-09,1997.0,G,6-1,200.0
3338,Michael Redd,2003,"$3,000,000","$4,437,060",1979-08-24,2001.0,G,6-6,220.0
3339,Eric Montross,2003,"$2,960,000","$4,377,899",1971-09-23,1995.0,C,7-0,270.0
3340,Hubert Davis,2003,"$2,956,250","$4,372,353",1970-05-17,1993.0,G,6-5,183.0
3341,Aaron Williams,2003,"$2,925,000","$4,326,133",1971-10-02,1994.0,F-C,6-9,220.0
3342,Tony Delk,2003,"$2,925,000","$4,326,133",1974-01-28,1997.0,G,6-1,189.0
3343,Othella Harrington,2003,"$2,925,000","$4,326,133",1974-01-31,1997.0,F-C,6-9,235.0
3344,Bobby Jackson,2003,"$2,925,000","$4,326,133",1973-03-13,1998.0,G,6-1,185.0
3345,Chris Bosh,2003,"$2,911,320","$4,305,900",1984-03-24,2004.0,F-C,6-11,235.0
3346,Chris Mihm,2003,"$2,809,494","$4,155,298",1979-07-16,2001.0,C,7-0,265.0
3347,George Lynch,2003,"$2,800,000","$4,141,256",1970-09-03,1994.0,F,6-8,218.0
3348,Michael Curry,2003,"$2,800,000","$4,141,256",1968-08-22,1994.0,F-G,6-5,210.0
3349,Jason Richardson,2003,"$2,789,280","$4,125,401",1981-01-20,2002.0,G,6-6,220.0
3350,Nikoloz Tskitishvili,2003,"$2,720,760","$4,024,058",1983-04-14,2003.0,F,7-0,225.0
3351,Pat Garrity,2003,"$2,643,750","$3,910,159",1976-08-23,1999.0,F,6-9,238.0
3352,Greg Buckner,2003,"$2,640,000","$3,904,613",1976-09-16,2000.0,G,6-4,210.0
3353,Dwyane Wade,2003,"$2,636,400","$3,899,288",1982-01-17,2004.0,G,6-4,220.0
3354,Wang Zhizhi,2003,"$2,620,943","$3,876,427",1977-07-08,2001.0,C,7-0,255.0
3355,Pau Gasol,2003,"$2,618,395","$3,872,658",1980-07-06,2002.0,C-F,7-0,250.0
3356,John Amaechi,2003,"$2,610,000","$3,860,242",1970-11-26,1996.0,C-F,6-10,270.0
3357,Jamal Crawford,2003,"$2,577,937","$3,812,820",1980-03-20,2001.0,G,6-5,185.0
3358,Shane Battier,2003,"$2,533,440","$3,747,008",1978-09-09,2002.0,F,6-8,220.0
3359,Lucious Harris,2003,"$2,500,000","$3,697,550",1970-12-18,1994.0,G,6-5,190.0
3360,Earl Boykins,2003,"$2,500,000","$3,697,550",1976-06-02,1999.0,G,5-5,135.0
3361,Eric Piatkowski,2003,"$2,500,000","$3,697,550",1970-09-30,1995.0,G-F,6-7,215.0
3362,Predrag Drobnjak,2003,"$2,500,000","$3,697,550",1975-10-27,2002.0,C,6-11,270.0
3363,Andrew DeClercq,2003,"$2,500,000","$3,697,550",1973-02-01,1996.0,F-C,6-10,230.0
3364,Darrell Armstrong,2003,"$2,475,000","$3,660,574",1968-06-22,1995.0,G,6-0,170.0
3365,Dajuan Wagner,2003,"$2,471,280","$3,655,072",1983-02-04,2003.0,G,6-2,200.0
3366,Ira Newble,2003,"$2,458,500","$3,636,171",1975-01-20,2001.0,F,6-7,220.0
3367,Kevin Ollie,2003,"$2,458,500","$3,636,171",1972-12-27,1998.0,G,6-4,195.0
3368,Stacey Augmon,2003,"$2,400,000","$3,549,648",1968-08-01,1992.0,F-G,6-8,205.0
3369,Chris Kaman,2003,"$2,394,600","$3,541,661",1982-04-28,2004.0,C,7-0,265.0
3370,Joel Przybilla,2003,"$2,373,309","$3,510,171",1979-10-10,2001.0,C,7-1,255.0
3371,Eddie Griffin,2003,"$2,312,760","$3,420,618",1982-05-30,2002.0,F-C,6-10,220.0
3372,Cory Alexander,2003,"$2,302,778","$3,405,855",1973-06-22,1996.0,G,6-1,185.0
3373,Keyon Dooling,2003,"$2,256,444","$3,337,326",1980-05-08,2001.0,G,6-3,196.0
3374,Etan Thomas,2003,"$2,200,942","$3,255,237",1978-04-01,2002.0,F,6-9,256.0
3375,Jim Jackson,2003,"$2,200,000","$3,253,844",1970-10-14,1993.0,G,6-6,220.0
3376,Antonio Daniels,2003,"$2,200,000","$3,253,844",1975-03-19,1998.0,G,6-4,195.0
3377,Kirk Hinrich,2003,"$2,185,920","$3,233,019",1981-01-02,2004.0,G,6-4,190.0
3378,Courtney Alexander,2003,"$2,168,193","$3,206,801",1977-04-27,2001.0,G,6-5,205.0
3379,Bimbo Coles,2003,"$2,120,000","$3,135,522",1968-04-22,1991.0,G,6-1,180.0
3380,DeSagana Diop,2003,"$2,118,840","$3,133,807",1982-01-30,2002.0,C,7-0,300.0
3381,Nenê,2003,"$2,102,840","$3,110,142",1982-09-13,2003.0,F-C,6-11,250.0
3382,Troy Hudson,2003,"$2,100,000","$3,105,942",1976-03-13,1998.0,G,6-1,170.0
3383,Chris Wilcox,2003,"$2,066,760","$3,056,779",1982-09-03,2003.0,F,6-10,221.0
3384,TJ Ford,2003,"$2,002,680","$2,962,004",,,,,
3385,Hidayet Turkoglu,2003,"$1,995,611","$2,951,548",,,,,
3386,Rodney White,2003,"$1,947,600","$2,880,539",1980-06-28,2002.0,F,6-9,238.0
3387,Marko Jaric,2003,"$1,925,000","$2,847,113",,,,,
3388,Amare Stoudemire,2003,"$1,899,720","$2,809,724",,,,,
3389,Desmond Mason,2003,"$1,898,312","$2,807,641",1977-10-11,2001.0,F,6-7,224.0
3390,Joe Johnson,2003,"$1,850,160","$2,736,423",1981-06-29,2002.0,G-F,6-7,240.0
3391,Mike Sweetney,2003,"$1,840,800","$2,722,580",1982-10-25,2004.0,F,6-8,275.0
3392,Quentin Richardson,2003,"$1,805,735","$2,670,718",1980-04-13,2001.0,G,6-6,223.0
